scenario,method,step,time,state,growth_rate,carrying_capacity,time_step
baseline,euler,0,0.0,10.0,0.35,100.0,0.1
baseline,euler,1,0.1,10.315,0.35,100.0,0.1
baseline,euler,2,0.2,10.6387852712,0.35,100.0,0.1
baseline,euler,3,0.3,10.9715284425,0.35,100.0,0.1
baseline,euler,4,0.4,11.3134008853,0.35,100.0,0.1
baseline,euler,5,0.5,11.6645723524,0.35,100.0,0.1
baseline,euler,6,0.6,12.0252105979,0.35,100.0,0.1
baseline,euler,7,0.7,12.3954809773,0.35,100.0,0.1
baseline,euler,8,0.8,12.7755460295,0.35,100.0,0.1
baseline,euler,9,0.9,13.1655650388,0.35,100.0,0.1
baseline,euler,10,1.0,13.5656935792,0.35,100.0,0.1
baseline,euler,11,1.1,13.9760830397,0.35,100.0,0.1
baseline,euler,12,1.2,14.3968801321,0.35,100.0,0.1
baseline,euler,13,1.3,14.8282263816,0.35,100.0,0.1
baseline,euler,14,1.4,15.2702576008,0.35,100.0,0.1
baseline,euler,15,1.5,15.7231033483,0.35,100.0,0.1
baseline,euler,16,1.6,16.1868863728,0.35,100.0,0.1
baseline,euler,17,1.7,16.6617220442,0.35,100.0,0.1
baseline,euler,18,1.8,17.1477177723,0.35,100.0,0.1
baseline,euler,19,1.9,17.6449724156,0.35,100.0,0.1
baseline,euler,20,2.0,18.1535756821,0.35,100.0,0.1
baseline,euler,21,2.1,18.6736075225,0.35,100.0,0.1
baseline,euler,22,2.2,19.2051375195,0.35,100.0,0.1
baseline,euler,23,2.3,19.7482242752,0.35,100.0,0.1
baseline,euler,24,2.4,20.3029147981,0.35,100.0,0.1
baseline,euler,25,2.5,20.8692438938,0.35,100.0,0.1
baseline,euler,26,2.6,21.4472335608,0.35,100.0,0.1
baseline,euler,27,2.7,22.0368923958,0.35,100.0,0.1
baseline,euler,28,2.8,22.6382150104,0.35,100.0,0.1
baseline,euler,29,2.9,23.2511814632,0.35,100.0,0.1
baseline,euler,30,3.0,23.8757567106,0.35,100.0,0.1
baseline,euler,31,3.1,24.51189008,0.35,100.0,0.1
baseline,euler,32,3.2,25.1595147685,0.35,100.0,0.1
baseline,euler,33,3.3,25.8185473712,0.35,100.0,0.1
baseline,euler,34,3.4,26.4888874432,0.35,100.0,0.1
baseline,euler,35,3.5,27.1704170985,0.35,100.0,0.1
baseline,euler,36,3.6,27.863000649,0.35,100.0,0.1
baseline,euler,37,3.7,28.5664842899,0.35,100.0,0.1
baseline,euler,38,3.8,29.2806958315,0.35,100.0,0.1
baseline,euler,39,3.9,30.0054444836,0.35,100.0,0.1
baseline,euler,40,4.0,30.740520696,0.35,100.0,0.1
baseline,euler,41,4.1,31.4856960559,0.35,100.0,0.1
baseline,euler,42,4.2,32.2407232483,0.35,100.0,0.1
baseline,euler,43,4.3,33.0053360795,0.35,100.0,0.1
baseline,euler,44,4.4,33.7792495689,0.35,100.0,0.1
baseline,euler,45,4.5,34.5621601083,0.35,100.0,0.1
baseline,euler,46,4.6,35.3537456931,0.35,100.0,0.1
baseline,euler,47,4.7,36.1536662253,0.35,100.0,0.1
baseline,euler,48,4.8,36.9615638896,0.35,100.0,0.1
baseline,euler,49,4.9,37.777063604,0.35,100.0,0.1
baseline,euler,50,5.0,38.599773543,0.35,100.0,0.1
baseline,euler,51,5.1,39.4292857359,0.35,100.0,0.1
baseline,euler,52,5.2,40.2651767358,0.35,100.0,0.1
baseline,euler,53,5.3,41.1070083615,0.35,100.0,0.1
baseline,euler,54,5.4,41.9543285064,0.35,100.0,0.1
baseline,euler,55,5.5,42.8066720159,0.35,100.0,0.1
baseline,euler,56,5.6,43.6635616273,0.35,100.0,0.1
baseline,euler,57,5.7,44.5245089694,0.35,100.0,0.1
baseline,euler,58,5.8,45.3890156187,0.35,100.0,0.1
baseline,euler,59,5.9,46.2565742067,0.35,100.0,0.1
baseline,euler,60,6.0,47.1266695739,0.35,100.0,0.1
baseline,euler,61,6.1,47.9987799642,0.35,100.0,0.1
baseline,euler,62,6.2,48.8723782556,0.35,100.0,0.1
baseline,euler,63,6.3,49.7469332198,0.35,100.0,0.1
baseline,euler,64,6.4,50.6219108049,0.35,100.0,0.1
baseline,euler,65,6.5,51.4967754343,0.35,100.0,0.1
baseline,euler,66,6.6,52.3709913164,0.35,100.0,0.1
baseline,euler,67,6.7,53.2440237565,0.35,100.0,0.1
baseline,euler,68,6.8,54.115340465,0.35,100.0,0.1
baseline,euler,69,6.9,54.9844128555,0.35,100.0,0.1
baseline,euler,70,7.0,55.8507173254,0.35,100.0,0.1
baseline,euler,71,7.1,56.7137365128,0.35,100.0,0.1
baseline,euler,72,7.2,57.5729605225,0.35,100.0,0.1
baseline,euler,73,7.3,58.4278881166,0.35,100.0,0.1
baseline,euler,74,7.4,59.2780278623,0.35,100.0,0.1
baseline,euler,75,7.5,60.1228992319,0.35,100.0,0.1
