scenario,method,time,observed,predicted,residual,absolute_residual
baseline,rk4,0.0,10.0,10.0,0.0,0.0
baseline,rk4,1.0,13.7,13.6199092592,0.0800907408,0.0800907408
baseline,rk4,2.0,18.0,18.2839832543,-0.2839832543,0.2839832543
baseline,rk4,3.0,23.5,24.0996389404,-0.5996389404,0.5996389404
baseline,rk4,4.0,30.2,31.061952015,-0.861952015,0.861952015
baseline,rk4,5.0,37.7,39.0020848292,-1.3020848292,1.3020848292
baseline,rk4,6.0,46.1,47.5712982182,-1.4712982182,1.4712982182
baseline,rk4,7.0,55.0,56.2859506854,-1.2859506854,1.2859506854
baseline,rk4,8.0,63.4,64.6291020393,-1.2291020393,1.2291020393
baseline,rk4,9.0,71.0,72.1672993536,-1.1672993536,1.1672993536
baseline,rk4,10.0,77.1,78.6301709947,-1.5301709947,1.5301709947
baseline,rk4,11.0,82.3,83.9265802483,-1.6265802483,1.6265802483
baseline,rk4,12.0,86.1,88.1088170317,-2.0088170317,2.0088170317
baseline,rk4,13.0,89.3,91.315457898,-2.015457898,2.015457898
baseline,rk4,14.0,91.7,93.7190215656,-2.0190215656,2.0190215656
baseline,rk4,15.0,93.4,95.4902197337,-2.0902197337,2.0902197337
baseline,rk4,16.0,94.7,96.779116079,-2.079116079,2.079116079
